   1.0000000e+00   3.3428091e+01
   2.0000000e+00   1.2834192e+01
   3.0000000e+00   8.8129731e+00
   4.0000000e+00   3.4455208e-15
   5.0000000e+00   3.0315482e-15
   6.0000000e+00   2.0685719e-15
   7.0000000e+00   1.9247190e-15
   8.0000000e+00   1.6612602e-15
   9.0000000e+00   1.3856289e-15
   1.0000000e+01   1.3233740e-15
   1.1000000e+01   1.1818249e-15
   1.2000000e+01   8.2768827e-16
   1.3000000e+01   5.7618451e-16
   1.4000000e+01   3.9596652e-16
   1.5000000e+01   2.7709722e-16
   1.6000000e+01   1.0140966e-16
   1.7000000e+01   3.5173050e-17
   1.8000000e+01   1.3101642e-17
   1.9000000e+01   4.9749023e-18
   2.0000000e+01   2.6311022e-19
